node.from.number,node.to.number,id,resistance.pu,max.flow.MW,id.num
184433,184454,1,0.107,650,1
424019,524011,1,0.1571,1000,10
374007,514009,1,1e-04,500,11
374007,514009,1,1e-04,500,12
424099,514010,1,1e-04,400,13
424099,514010,1,1e-04,400,14
364008,184432,1,1e-04,125,15
364008,184432,1,1e-04,125,16
414491,414492,1,1e-04,250,17
184433,184454,1,0.107,650,2
354015,184459,1,0.145,1000,3
314029,544016,1,0.0833,3000,33
314029,544016,1,0.0833,3000,34
444073,184922,1,0.093,1500,39
354015,184459,1,0.145,1000,4
444073,184922,1,0.093,1500,40
544016,534999,1,0.1571,1000,41
544016,534999,1,0.1571,1000,42
214151,188408,1,0.0833,3000,45
374006,374012,1,0.09,700,5
374006,374012,1,0.09,700,6
184475,184921,1,0.091,500,7
314033,184483,1,0.0833,3000,75
314033,184483,1,0.0833,3000,76
214044,444073,1,0.03,500,79
184475,184921,1,0.091,500,8
214044,444073,1,0.03,500,80
424019,524011,1,0.1571,1000,9
